POSTI;NAME_FI;POSTI_1;BIN;DIS45;BARREN;FOREST;TEMPSUM;AKATP;AKATOSA;ALK_SLQ;TEOL_SLQ;TEOLLAG;NUORET;HERFIND;TYOTIH;TEOLP;PALVP;MAAS;DIS5000;ELEV;VAKILAG;VM0394;MOKKITIH;LSAREA;RETKITIH;LOG;DIS456;DIS20;DIS10;DIS6;TYOP;P;WATER;PALV_LAG;TEOLSLQ;ALK_LAG;PALV_SLQ;AKAT_LAG;TYOVOSA;TYOTMOSA;TYOTOMP;OPISKP;ELAKELP;TAVARAL;TAVELAT;TOIMIOSA;TYOPOSA;TYOTTOMAST;ASK_MTULOT;TAKVELAT;TAVARALL;ALINTL_P;YRITTAJ_P
19410;Kuortti;19410;1.000;60.380;1.098;62.521;3.565;5.000;0.000;1.597;1.226;0.217;9.000;0.149;2.620;0.356;0.297;0.347;224.206;107.191;0.485;-3.990;0.218;0.011;0.000;1.000;60.380;148.000;135.140;29.480;194.000;0.121;15.675;0.330;1.226;1.367;0.909;4.781;0.093;0.050;8.000;7.000;60.000;63.000;38.000;0.568;0.098;8;12484;38;63;33;14
19420;Mansikkam?ki;19420;0.000;64.470;1.040;69.593;3.548;3.000;0.000;5.340;0.600;0.211;7.000;0.309;0.950;0.242;0.161;0.597;228.938;129.404;0.461;-14.750;0.487;0.450;0.000;0.000;64.470;152.080;130.160;39.630;54.000;0.137;6.401;0.327;0.600;1.307;0.318;4.802;0.036;0.027;12.000;11.000;63.000;96.000;31.000;0.118;0.027;12;10638;31;96;37;9
19430;Pertunmaa Keskus;19430;0.000;56.110;0.858;71.415;3.528;5.000;0.000;2.218;0.257;0.563;5.000;0.136;3.590;0.300;0.300;0.400;220.455;118.503;0.888;-8.790;0.288;0.145;0.000;0.000;56.110;143.730;127.350;31.270;337.000;0.186;15.013;0.558;0.257;2.088;1.018;5.382;0.155;0.102;10.000;10.000;60.000;59.000;35.000;0.656;0.171;10;11160;35;59;39;12
19460;Ruorasm?ki;19460;0.000;64.500;1.919;69.831;3.491;5.000;0.000;8.307;1.201;0.596;6.000;0.654;0.210;0.217;0.130;0.652;228.647;112.510;0.819;-15.030;0.323;0.003;0.000;0.000;64.500;152.120;115.580;39.660;18.000;0.136;23.609;0.554;1.201;2.001;0.000;5.260;0.022;0.022;16.000;10.000;66.000;84.000;62.000;0.088;0.009;16;10066;62;84;35;7
19470;Lihavanp??-Hartosenp??;19470;1.000;51.880;0.576;71.614;3.503;4.000;0.000;5.097;0.368;0.626;10.000;0.284;0.810;0.375;0.250;0.375;216.222;116.422;1.019;-1.350;0.353;0.044;0.000;1.000;51.880;139.490;126.630;27.040;44.000;0.189;17.558;0.595;0.368;2.343;0.567;5.238;0.019;0.005;4.000;7.000;52.000;64.000;29.000;0.157;0.022;4;12845;29;64;32;16
50100;Mikkeli Keskus;50100;1.000;10.020;1.592;65.547;3.364;15.000;4.000;0.192;0.670;7.563;16.000;0.107;45.790;0.503;0.401;0.097;173.700;109.113;8.824;-3.150;0.369;0.893;0.000;1.000;10.020;97.170;84.310;37.130;11631.000;0.831;13.525;11.872;0.670;4.903;1.249;11.783;2.510;1.874;12.000;18.000;52.000;53.000;40.000;11.069;5.905;12;16190;40;53;31;7
50120;Seikkil?;50120;1.000;1.660;0.000;41.914;3.353;12.000;0.000;0.085;0.129;7.462;13.000;0.207;126.000;0.555;0.390;0.055;166.902;95.873;8.577;-8.920;0.000;0.000;0.000;1.000;1.660;90.210;77.100;44.350;252.000;0.756;0.000;11.667;0.129;4.545;1.473;11.889;0.308;0.279;14.000;15.000;53.000;39.000;34.000;0.451;0.128;14;16250;34;39;28;5
50130;Nuijamies;50130;1.000;2.300;0.028;15.756;3.353;13.000;1.000;0.012;1.111;7.459;12.000;0.181;875.500;0.556;0.433;0.012;166.883;99.494;8.550;-5.890;0.000;0.000;0.000;1.000;2.300;90.220;77.110;42.450;1751.000;0.777;0.643;11.661;1.111;4.345;1.108;11.926;0.396;0.403;16.000;16.000;54.000;38.000;35.000;1.557;0.889;16;14237;35;38;37;6
50160;Kattilansilta;50160;1.000;3.090;0.000;38.808;3.368;9.000;0.000;0.172;0.087;7.550;15.000;0.153;124.000;0.564;0.410;0.026;167.005;101.015;8.798;-16.650;0.000;1.201;0.000;1.000;3.090;90.250;77.390;44.850;124.000;0.761;13.541;11.831;0.087;4.486;1.044;11.879;0.501;0.692;21.000;16.000;52.000;37.000;24.000;0.372;0.063;21;14997;24;37;34;3
50170;Peitsari;50170;1.000;2.850;0.808;33.266;3.353;11.000;1.000;0.094;1.236;7.550;12.000;0.144;139.440;0.580;0.401;0.019;162.615;90.817;8.754;-2.200;1.125;0.000;0.000;1.000;2.850;85.690;72.590;40.380;1255.000;0.793;15.063;11.823;1.236;4.632;0.919;11.898;1.132;1.080;15.000;17.000;40.000;43.000;40.000;1.959;0.637;15;16866;40;43;26;7
50180;Visulahti;50180;1.000;5.160;0.367;46.070;3.358;14.000;0.000;1.758;0.410;7.536;8.000;0.139;7.180;0.563;0.333;0.104;160.407;95.688;8.743;70.940;0.212;0.051;0.000;1.000;5.160;83.380;72.730;38.070;79.000;0.812;5.724;11.800;0.410;4.442;1.126;11.933;0.141;0.062;7.000;12.000;22.000;53.000;75.000;0.392;0.040;7;19795;75;53;7;9
50190;Tuppurala;50190;1.000;3.480;0.315;22.042;3.353;13.000;1.000;0.017;0.619;7.563;13.000;0.231;209.670;0.594;0.394;0.013;164.269;84.731;8.829;0.980;0.000;0.452;0.000;1.000;3.480;87.200;74.090;41.880;629.000;0.788;24.287;11.854;0.619;4.675;1.342;11.845;0.909;0.991;17.000;19.000;40.000;49.000;35.000;1.244;0.319;17;16508;35;49;31;5
50350;Norola;50350;1.000;10.000;0.442;74.330;3.414;6.000;0.000;0.880;0.509;7.541;7.000;0.153;3.040;0.627;0.305;0.068;159.617;102.016;8.765;3.630;0.528;2.488;0.000;1.000;10.000;83.990;77.570;38.680;85.000;0.821;12.005;11.801;0.509;4.529;1.083;11.912;0.061;0.047;12.000;11.000;38.000;71.000;75.000;0.215;0.043;12;18367;75;71;10;13
50500;Tuukkala;50500;1.000;5.840;0.333;53.303;3.431;13.000;0.000;0.329;0.048;7.799;12.000;0.358;25.220;0.564;0.370;0.066;169.867;97.952;9.146;-5.510;0.500;0.000;0.000;1.000;5.840;93.000;80.140;40.470;227.000;0.814;8.542;11.835;0.048;4.437;1.374;11.849;0.352;0.279;12.000;15.000;30.000;43.000;46.000;0.451;0.115;12;19615;46;43;18;6
50520;Moision Sairaala-alue;50520;0.000;5.010;2.322;37.317;3.431;23.000;0.000;0.067;0.000;7.550;22.000;0.975;107.000;0.417;0.583;0.000;169.142;87.345;8.816;-30.860;0.500;0.000;0.000;0.000;5.010;92.170;79.310;42.130;321.000;0.799;28.312;11.831;0.000;4.486;1.550;11.879;0.027;0.010;6.000;20.000;41.000;27.000;29.000;0.020;0.163;6;21438;29;27;29;1
50600;Karikko;50600;1.000;4.930;0.731;65.463;3.355;14.000;1.000;1.021;1.102;7.805;9.000;0.150;22.690;0.564;0.378;0.058;169.161;111.887;9.167;5.290;0.274;0.000;0.000;1.000;4.930;92.850;79.740;40.240;1339.000;0.810;18.225;11.886;1.102;5.060;0.936;11.707;0.834;0.488;9.000;15.000;35.000;52.000;61.000;1.724;0.680;9;19543;61;52;15;9
50670;Otava;50670;1.000;13.200;0.874;72.245;3.375;8.000;0.000;1.048;1.553;7.942;10.000;0.166;4.160;0.547;0.342;0.111;178.448;118.780;9.134;-1.940;0.315;0.391;0.000;1.000;13.200;101.120;88.010;32.980;428.000;0.799;14.637;11.864;1.553;4.936;0.795;11.731;0.370;0.393;16.000;15.000;38.000;43.000;48.000;0.921;0.217;16;14409;48;43;24;9
50770;Korpikoski;50770;1.000;19.770;0.562;74.421;3.348;3.000;0.000;4.673;0.000;7.561;5.000;0.311;0.390;0.479;0.250;0.271;169.288;110.396;8.153;-7.590;0.205;0.068;0.000;1.000;19.770;107.690;85.540;43.920;32.000;0.669;24.048;11.360;0.000;4.328;0.390;12.013;0.038;0.032;13.000;15.000;46.000;63.000;51.000;0.137;0.016;13;15248;51;63;17;10
51130;Vanham?ki;51130;0.000;30.410;2.188;69.625;3.325;3.000;0.000;8.782;0.120;2.401;4.000;0.701;0.570;0.200;0.055;0.746;159.215;109.558;3.149;-13.000;0.362;1.126;0.000;0.000;30.410;109.400;71.650;30.030;45.000;0.266;21.654;2.097;0.120;4.388;0.243;9.003;0.034;0.032;15.000;10.000;55.000;112.000;53.000;0.078;0.023;15;12656;53;112;24;7
51200;Kangasniemi Keskus;51200;1.000;51.550;1.271;68.814;3.300;8.000;1.000;1.331;1.087;0.867;7.000;0.116;3.950;0.424;0.335;0.241;138.453;110.739;1.197;-8.950;0.315;0.879;0.000;1.000;51.550;88.210;50.460;0.220;1477.000;0.539;25.339;0.807;1.087;2.609;0.961;6.592;0.681;0.732;17.000;11.000;60.000;54.000;35.000;2.792;0.750;17;12407;35;54;36;9
51260;Tahkom?ki;51260;0.000;74.830;1.014;68.154;3.243;4.000;0.000;6.824;0.150;1.232;5.000;0.429;0.370;0.186;0.070;0.744;122.155;136.663;0.886;-20.480;0.598;0.000;0.000;0.000;74.830;74.380;36.630;27.050;36.000;0.156;10.762;0.498;0.150;1.448;0.433;6.605;0.030;0.032;16.000;10.000;56.000;75.000;48.000;0.108;0.018;16;9197;48;75;24;9
51270;Kutemaj?rvi;51270;0.000;61.290;1.865;67.370;3.257;4.000;0.000;5.974;0.092;2.209;7.000;0.340;0.460;0.162;0.103;0.735;123.186;130.431;2.469;-19.950;0.568;0.000;0.000;0.000;61.290;70.570;32.820;18.580;59.000;0.065;10.635;1.529;0.092;3.059;0.608;7.072;0.045;0.042;14.000;14.000;44.000;94.000;41.000;0.147;0.030;14;10911;41;94;27;13
51310;Lev?;51310;0.000;64.340;0.997;74.479;3.309;8.000;0.000;8.455;0.225;1.224;3.000;0.634;0.190;0.167;0.250;0.583;153.637;108.728;1.330;1.880;0.275;0.217;0.000;0.000;64.340;100.990;63.240;13.010;24.000;0.078;25.213;0.971;0.225;2.538;0.130;6.695;0.029;0.032;17.000;13.000;58.000;86.000;50.000;0.069;0.012;17;11389;50;86;27;12
51340;H?nnil?-S?rkiharju;51340;0.000;66.540;1.467;68.283;3.268;4.000;0.000;7.700;0.126;0.837;6.000;0.535;0.380;0.233;0.167;0.600;153.628;114.920;1.010;-1.420;0.719;0.028;0.000;0.000;66.540;103.190;65.450;15.210;43.000;0.074;13.112;0.757;0.126;1.795;0.181;6.908;0.050;0.085;26.000;6.000;57.000;76.000;42.000;0.098;0.022;26;9876;42;76;32;4
51360;Koivula-Synsi÷;51360;0.000;69.590;0.950;72.568;3.234;4.000;0.000;7.120;0.000;0.011;8.000;0.472;0.180;0.389;0.083;0.528;146.393;138.819;0.258;-4.740;0.601;0.274;0.000;0.000;69.590;105.300;67.550;20.810;33.000;0.088;11.067;0.045;0.000;0.868;0.331;3.942;0.034;0.032;15.000;9.000;59.000;85.000;33.000;0.157;0.017;15;11035;33;85;32;8
51420;Harjumaa-Pajulankyl?;51420;1.000;20.570;1.292;71.213;3.300;6.000;0.000;5.052;0.365;7.805;4.000;0.279;0.800;0.197;0.212;0.591;155.920;122.519;7.632;1.250;0.528;0.000;0.000;1.000;20.570;106.160;68.410;30.760;74.000;0.618;14.900;11.316;0.365;4.963;0.611;11.835;0.054;0.047;13.000;8.000;50.000;99.000;68.000;0.167;0.038;13;11452;68;99;27;13
51430;L?s?koski;51430;1.000;30.800;1.841;72.981;3.310;5.000;0.000;5.981;0.216;1.120;8.000;0.382;0.370;0.235;0.118;0.647;145.836;105.837;1.704;-4.270;0.376;0.286;0.000;1.000;30.800;99.900;62.150;20.530;25.000;0.140;19.074;1.142;0.216;3.477;0.499;6.735;0.019;0.022;18.000;16.000;62.000;60.000;68.000;0.098;0.013;18;11856;68;60;33;14
51440;Vuojalahti;51440;0.000;50.270;0.812;73.733;3.291;3.000;0.000;6.725;0.500;1.089;6.000;0.424;0.520;0.235;0.147;0.618;143.618;116.298;1.554;-2.380;0.619;0.279;0.000;0.000;50.270;85.590;47.840;14.790;54.000;0.114;14.363;1.070;0.500;3.292;0.231;6.211;0.048;0.037;12.000;13.000;50.000;104.000;51.000;0.127;0.027;12;10783;51;104;30;9
51460;Luusniemi;51460;0.000;41.460;3.933;68.203;3.293;3.000;0.000;7.330;0.318;1.136;5.000;0.491;0.500;0.233;0.100;0.667;141.793;105.252;1.817;-4.630;0.352;3.475;0.000;0.000;41.460;89.580;51.830;27.020;51.000;0.146;31.217;1.177;0.318;3.932;0.245;6.512;0.039;0.050;20.000;12.000;52.000;85.000;49.000;0.186;0.026;20;10105;49;85;32;15
51520;Hiirola;51520;0.000;17.000;1.912;68.111;3.302;6.000;0.000;3.365;0.962;7.146;7.000;0.210;0.900;0.485;0.204;0.311;151.434;125.047;7.903;-12.050;1.306;0.079;0.000;0.000;17.000;87.300;58.440;41.990;73.000;0.727;2.823;11.218;0.962;4.909;0.684;12.005;0.089;0.082;14.000;9.000;49.000;55.000;41.000;0.157;0.037;14;14898;41;55;24;10
51540;Kalvitsa;51540;0.000;30.130;3.147;66.543;3.308;4.000;0.000;6.501;0.000;4.440;7.000;0.405;0.400;0.220;0.176;0.604;141.502;120.224;3.724;-14.290;1.081;1.132;0.000;0.000;30.130;78.460;52.130;33.150;69.000;0.271;9.273;7.918;0.000;4.426;0.497;11.678;0.064;0.050;12.000;11.000;57.000;75.000;41.000;0.196;0.035;12;10672;41;75;26;8
51600;Haukivuori Keskus-Pitk?aho;51600;0.000;40.670;3.983;60.628;3.300;5.000;0.000;2.031;0.773;0.392;8.000;0.116;2.850;0.294;0.324;0.381;128.036;108.489;1.075;-12.790;0.335;1.684;0.000;0.000;40.670;72.620;34.980;34.520;531.000;0.221;32.923;0.540;0.773;3.585;0.931;5.644;0.269;0.289;17.000;11.000;62.000;50.000;44.000;1.097;0.270;17;11439;44;50;37;12
51670;Nyk?l?;51670;0.000;58.030;4.600;64.255;3.287;5.000;0.000;7.209;0.135;2.475;5.000;0.473;0.430;0.098;0.146;0.756;120.025;109.181;3.329;-14.570;0.590;0.499;0.000;0.000;58.030;70.090;32.340;24.860;40.000;0.099;15.883;2.175;0.135;4.062;0.312;7.097;0.029;0.032;18.000;9.000;63.000;93.000;42.000;0.059;0.020;18;9816;42;93;31;14
51720;Rahula;51720;1.000;12.920;0.257;74.059;3.405;8.000;0.000;3.650;0.821;7.399;6.000;0.177;1.130;0.476;0.194;0.330;153.977;102.755;8.312;0.890;0.252;0.007;0.000;1.000;12.920;79.360;80.490;34.050;79.000;0.794;15.858;11.373;0.821;4.708;0.592;12.012;0.091;0.075;13.000;18.000;32.000;72.000;69.000;0.225;0.040;13;15870;69;72;13;11
51740;Huuhanaho;51740;1.000;17.000;0.613;76.531;3.402;9.000;0.000;2.015;2.753;7.989;6.000;0.315;1.020;0.593;0.204;0.204;153.089;100.288;8.798;-12.900;0.194;0.000;0.000;1.000;17.000;71.540;81.120;26.230;53.000;0.621;24.079;12.126;2.753;5.706;0.383;11.615;0.045;0.050;17.000;16.000;52.000;72.000;52.000;0.206;0.027;17;17378;52;72;18;15
51760;Nuutilanm?ki;51760;0.000;24.330;0.616;74.122;3.383;4.000;0.000;7.805;0.104;7.242;5.000;0.546;0.500;0.317;0.127;0.557;141.391;99.148;8.039;-11.350;0.459;0.003;0.000;0.000;24.330;65.310;74.880;19.990;52.000;0.289;19.386;11.493;0.104;5.104;0.300;11.442;0.058;0.045;12.000;5.000;57.000;115.000;60.000;0.127;0.026;12;13362;60;115;29;9
51780;Kuosmala;51780;0.000;31.030;0.965;75.937;3.466;8.000;0.000;6.485;0.000;6.232;3.000;0.402;0.440;0.125;0.250;0.625;151.105;102.530;6.723;-5.060;0.380;0.010;0.000;0.000;31.030;74.910;84.490;29.600;28.000;0.213;16.604;10.108;0.000;5.017;0.446;11.245;0.025;0.010;6.000;9.000;60.000;97.000;60.000;0.049;0.014;6;13134;60;97;36;14
51810;Maivala;51810;0.000;32.240;0.726;68.324;3.392;5.000;0.000;7.451;0.377;2.072;6.000;0.519;0.900;0.222;0.167;0.611;138.041;103.304;2.959;-2.650;0.778;0.000;0.000;0.000;32.240;62.000;71.580;16.690;43.000;0.127;10.963;1.992;0.377;3.840;0.073;8.255;0.032;0.025;12.000;6.000;50.000;83.000;60.000;0.127;0.022;12;13891;60;83;30;11
51820;Hatsola;51820;0.000;44.370;0.915;68.844;3.400;5.000;0.000;3.560;0.772;1.207;7.000;0.175;1.020;0.244;0.141;0.615;138.074;113.129;1.682;-15.180;0.863;0.000;0.000;0.000;44.370;59.120;68.700;13.810;84.000;0.139;8.987;1.272;0.772;3.699;0.613;6.622;0.059;0.042;11.000;12.000;55.000;92.000;89.000;0.235;0.043;11;12348;89;92;29;10
51850;Vuorenmaa;51850;0.000;43.480;5.306;64.875;3.307;5.000;0.000;8.274;0.076;1.301;8.000;0.612;0.750;0.129;0.118;0.753;126.090;121.653;1.941;-20.220;0.932;5.567;0.000;0.000;43.480;68.780;45.700;26.650;71.000;0.157;12.141;1.464;0.076;4.236;0.286;5.919;0.054;0.035;10.000;13.000;61.000;82.000;55.000;0.098;0.036;10;10074;55;82;34;6
51880;Koikkala;51880;0.000;58.750;0.368;77.796;3.527;5.000;0.000;7.036;0.064;1.512;5.000;0.458;3.150;0.171;0.068;0.761;150.648;96.738;2.092;-17.390;0.471;0.571;0.000;0.000;58.750;73.500;83.080;24.650;85.000;0.091;25.782;1.642;0.064;4.117;0.275;6.702;0.049;0.035;11.000;11.000;57.000;114.000;54.000;0.176;0.043;11;11742;54;114;30;11
51890;Risulahti;51890;0.000;64.740;0.883;80.130;3.627;6.000;0.000;10.103;0.000;0.274;4.000;0.896;0.390;0.030;0.091;0.879;161.887;97.666;1.043;-14.970;0.605;3.440;0.020;0.000;64.740;78.270;93.950;35.520;37.000;0.145;22.368;0.620;0.000;2.669;0.042;6.875;0.018;0.007;7.000;11.000;49.000;134.000;65.000;0.049;0.019;7;10345;65;134;15;7
51900;Juva Keskus;51900;1.000;43.350;2.179;71.138;3.345;6.000;1.000;1.331;0.929;1.095;9.000;0.114;4.140;0.388;0.331;0.281;126.409;117.980;1.529;-7.500;1.106;0.701;0.000;1.000;43.350;50.080;61.540;0.120;1966.000;0.617;7.528;1.100;0.929;4.361;0.966;5.773;0.831;0.667;12.000;11.000;57.000;53.000;39.000;2.772;0.998;12;13441;39;53;34;8
51930;Paatela;51930;0.000;54.460;0.701;70.646;3.405;3.000;0.000;5.026;0.795;1.498;5.000;0.292;0.610;0.419;0.140;0.442;127.728;96.409;1.879;-22.370;0.770;0.000;0.000;0.000;54.460;51.660;72.650;11.390;34.000;0.157;19.305;1.460;0.795;4.637;0.505;5.880;0.032;0.025;12.000;15.000;39.000;79.000;94.000;0.098;0.017;12;12177;94;79;16;10
51940;H?rk?l?;51940;0.000;64.100;0.805;67.799;3.447;7.000;0.000;9.448;0.000;1.809;2.000;0.790;0.570;0.158;0.105;0.737;128.540;108.128;2.350;-11.450;0.868;0.000;0.000;0.000;64.100;42.020;80.520;21.020;26.000;0.092;13.870;1.909;0.000;5.066;0.180;6.268;0.026;0.035;21.000;10.000;53.000;90.000;54.000;0.078;0.013;21;10965;54;90;32;6
51980;Lauteala;51980;0.000;60.650;0.857;72.250;3.520;3.000;0.000;6.920;0.228;1.402;4.000;0.441;0.560;0.101;0.089;0.810;149.681;104.361;2.089;-10.330;0.637;0.000;0.000;0.000;60.650;59.960;81.010;19.850;71.000;0.076;15.103;1.775;0.228;4.583;0.396;6.240;0.050;0.030;9.000;10.000;49.000;119.000;75.000;0.176;0.036;9;11221;75;119;24;10
52100;Anttola;52100;0.000;26.480;0.757;76.200;3.556;10.000;0.000;1.394;0.609;5.277;6.000;0.120;1.240;0.362;0.398;0.240;171.667;94.968;6.085;-11.940;0.271;2.871;0.000;0.000;26.480;97.940;97.170;52.630;337.000;0.316;29.968;9.277;0.609;3.677;1.092;12.074;0.270;0.271;16.000;10.000;56.000;66.000;43.000;0.999;0.171;16;14415;43;66;26;11
52110;Majavesi;52110;0.000;16.650;0.506;74.595;3.477;5.000;0.000;4.436;0.416;9.493;6.000;0.218;1.120;0.415;0.234;0.351;167.686;94.174;8.483;-8.010;0.248;0.000;0.000;0.000;16.650;92.740;86.320;47.430;65.000;0.684;12.292;11.800;0.416;4.377;0.624;11.889;0.080;0.057;11.000;12.000;53.000;83.000;50.000;0.264;0.033;11;14095;50;83;19;11
52200;Puumala Keskus;52200;0.000;71.500;1.074;80.140;3.677;7.000;0.000;2.366;0.299;0.118;6.000;0.125;0.940;0.235;0.388;0.377;178.829;89.810;0.569;-13.710;0.317;0.743;0.000;0.000;71.500;78.780;113.620;52.460;668.000;0.133;35.565;0.379;0.299;1.633;1.023;6.136;0.367;0.334;14.000;11.000;61.000;59.000;44.000;1.616;0.339;14;12664;44;59;31;11
52230;Hurissalo;52230;0.000;45.560;1.242;77.952;3.686;2.000;0.000;7.505;0.292;2.138;5.000;0.507;0.270;0.141;0.165;0.694;192.275;87.446;0.688;-12.720;0.359;0.771;0.000;0.000;45.560;102.960;116.250;66.420;74.000;0.208;41.495;0.302;0.292;1.356;0.316;6.417;0.046;0.027;9.000;13.000;57.000;108.000;49.000;0.196;0.038;9;11413;49;108;31;13
52300;Ristiina Keskus;52300;1.000;21.540;0.844;70.703;3.513;9.000;0.000;0.778;0.429;11.112;8.000;0.121;3.870;0.547;0.317;0.136;184.833;90.851;9.465;0.560;0.260;0.135;0.000;1.000;21.540;108.700;95.840;26.570;755.000;0.511;22.923;12.451;0.429;4.599;1.225;11.502;0.529;0.433;13.000;12.000;51.000;56.000;48.000;1.724;0.383;13;15875;48;56;25;8
52320;Vitsi?l?;52320;1.000;15.400;0.838;65.504;3.462;9.000;0.000;2.306;0.000;9.575;7.000;0.282;2.150;0.514;0.216;0.270;180.243;96.380;8.538;1.370;0.328;0.000;0.000;1.000;15.400;102.550;89.690;35.650;88.000;0.793;10.093;11.629;0.000;3.742;0.869;11.957;0.066;0.032;8.000;17.000;40.000;66.000;58.000;0.147;0.045;8;15632;58;66;17;8
52340;Hangastenmaa;52340;0.000;27.370;0.756;69.747;3.534;3.000;0.000;6.879;0.000;9.740;6.000;0.458;0.520;0.229;0.100;0.671;180.578;90.923;8.451;-10.330;0.245;0.000;0.000;0.000;27.370;104.480;98.060;44.430;59.000;0.358;21.543;11.800;0.000;4.193;0.238;11.913;0.046;0.040;13.000;7.000;58.000;92.000;87.000;0.059;0.030;13;13461;87;92;25;5
52360;Someenj?rvi;52360;0.000;43.520;1.228;80.035;3.627;5.000;0.000;6.573;0.000;2.302;4.000;0.414;0.120;0.462;0.231;0.308;205.361;85.538;1.200;-1.720;0.231;0.976;0.000;0.000;43.520;119.930;117.810;51.020;13.000;0.219;38.387;0.771;0.000;1.464;0.360;7.597;0.016;0.015;15.000;10.000;75.000;97.000;27.000;0.029;0.007;15;11822;27;97;29;10
52420;Pellosniemi;52420;1.000;26.240;0.758;75.481;3.599;4.000;0.000;0.372;4.582;2.448;8.000;0.723;4.200;0.682;0.150;0.168;189.645;90.726;1.036;-11.410;0.221;0.014;0.000;1.000;26.240;113.390;100.530;28.250;861.000;0.371;25.934;0.631;4.582;1.416;0.163;6.834;0.150;0.194;20.000;7.000;55.000;55.000;35.000;0.421;0.437;20;12384;35;55;33;7
52510;Hietanen;52510;0.000;23.680;1.633;72.460;3.434;5.000;0.000;3.940;0.420;8.634;8.000;0.193;0.680;0.460;0.162;0.378;189.407;117.533;8.471;-6.350;0.537;0.032;0.000;0.000;23.680;111.290;98.430;21.520;103.000;0.354;10.865;11.957;0.420;5.017;0.621;11.541;0.094;0.134;22.000;9.000;52.000;85.000;44.000;0.333;0.052;22;11191;44;85;30;13
52520;Syv?sm?ki;52520;1.000;21.250;0.608;76.484;3.402;2.000;0.000;3.884;0.737;7.942;8.000;0.215;0.450;0.517;0.103;0.379;189.320;110.428;9.025;-10.740;0.278;0.000;0.000;1.000;21.250;108.870;96.010;36.460;22.000;0.665;18.484;11.827;0.737;4.616;0.567;11.828;0.021;0.020;15.000;15.000;47.000;77.000;45.000;0.078;0.011;15;13520;45;77;21;9
52550;Hirvensalmi Keskus;52550;0.000;34.830;0.883;71.568;3.408;6.000;0.000;2.371;1.172;1.581;5.000;0.140;1.340;0.370;0.241;0.389;198.330;101.209;2.120;-6.200;0.250;0.976;0.000;0.000;34.830;122.450;109.590;28.190;581.000;0.211;43.043;1.319;1.172;3.271;0.763;8.681;0.293;0.274;14.000;8.000;63.000;68.000;48.000;1.254;0.295;14;11905;48;68;35;10
52610;Tuukkala;52610;1.000;42.760;0.518;71.539;3.410;3.000;0.000;3.770;2.225;0.428;3.000;0.317;0.650;0.375;0.167;0.458;208.030;101.220;0.607;-25.370;0.251;0.670;0.000;1.000;42.760;130.380;103.440;42.320;34.000;0.289;31.269;0.288;2.225;1.643;0.092;5.246;0.016;0.012;12.000;3.000;60.000;100.000;37.000;0.118;0.017;12;10593;37;100;33;10
52620;Kuitula;52620;0.000;49.720;0.585;77.778;3.352;2.000;0.000;6.573;0.000;1.218;5.000;0.473;0.100;0.158;0.316;0.526;0.000;106.363;1.279;-24.030;0.246;3.274;0.000;0.000;49.720;134.240;96.490;46.250;13.000;0.257;39.237;0.959;0.000;2.354;0.000;6.824;0.013;0.022;26.000;3.000;70.000;77.000;87.000;0.078;0.007;26;9246;87;77;49;9
52700;M?ntyharju Keskus;52700;1.000;45.050;1.038;75.506;3.531;8.000;1.000;0.936;1.514;2.012;8.000;0.147;2.920;0.560;0.278;0.162;209.494;103.246;1.851;-5.780;0.303;0.801;0.054;1.000;45.050;132.670;119.810;0.300;2042.000;0.635;16.275;1.367;1.514;1.839;0.819;7.592;0.936;0.665;11.000;11.000;56.000;58.000;38.000;3.164;1.037;11;14044;38;58;32;9
52720;Karankam?ki-Koirakivi;52720;0.000;51.510;0.279;68.202;3.544;3.000;0.000;5.059;0.000;0.585;8.000;0.367;0.950;0.235;0.235;0.529;215.728;103.285;1.004;-19.640;0.132;0.235;0.000;0.000;51.510;139.120;126.260;20.440;38.000;0.137;28.486;0.590;0.000;2.294;0.698;5.350;0.019;0.005;4.000;14.000;64.000;95.000;46.000;0.059;0.019;4;12939;46;95;33;14
52740;Tuustaipale;52740;0.000;38.340;1.385;67.218;3.503;5.000;0.000;4.561;0.225;1.218;7.000;0.302;0.960;0.189;0.233;0.578;202.667;102.383;1.435;-12.660;0.270;0.242;0.000;0.000;38.340;125.960;113.100;18.520;96.000;0.131;15.232;0.779;0.225;2.652;0.585;5.828;0.056;0.052;14.000;15.000;52.000;75.000;40.000;0.137;0.049;14;10528;40;75;35;10
52780;Kuomiokoski;52780;1.000;34.080;1.062;75.245;3.505;3.000;0.000;0.407;4.683;4.372;7.000;0.755;3.180;0.837;0.061;0.102;199.073;100.878;2.919;-24.150;0.191;0.000;0.000;1.000;34.080;121.230;108.370;16.700;105.000;0.139;16.307;1.846;4.683;2.587;0.149;7.938;0.033;0.032;15.000;10.000;53.000;43.000;31.000;0.098;0.053;15;13921;31;43;30;8
52850;Halmeniemi;52850;0.000;52.460;0.530;78.591;3.581;2.000;0.000;7.539;0.000;3.987;3.000;0.533;0.350;0.333;0.091;0.576;241.286;98.693;1.752;32.760;0.366;0.000;0.000;0.000;52.460;139.610;126.750;32.760;17.000;0.256;16.664;1.400;0.000;1.600;0.092;7.495;0.017;0.017;16.000;5.000;73.000;121.000;29.000;0.059;0.009;16;11647;29;121;27;9
